name,symbol,tier,watchlist,exchange,chart_usd,chart_btc,spot_usd,spot_btc,perps
1INCH,1INCHUSDT,4,0,binance,https://www.tradingview.com/chart/?symbol=BINANCE%3A1INCHUSDT,https://www.tradingview.com/chart/?symbol=BINANCE%3A1INCHBTC,https://www.binance.com/en/trade/1INCH_USDT,https://www.binance.com/en/trade/1INCH_BTC,https://www.binance.com/en/futures/1INCHUSDT
AAVE,AAVEUSDT,4,0,binance,https://www.tradingview.com/chart/?symbol=BINANCE%3AAAVEUSDT,https://www.tradingview.com/chart/?symbol=BINANCE%3AAAVEBTC,https://www.binance.com/en/trade/AAVE_USDT,https://www.binance.com/en/trade/AAVE_BTC,https://www.binance.com/en/futures/AAVEUSDT
ACA,ACAUSDT,4,0,binance,https://www.tradingview.com/chart/?symbol=BINANCE%3AACAUSDT,https://www.tradingview.com/chart/?symbol=BINANCE%3AACABTC,https://www.binance.com/en/trade/ACA_USDT,https://www.binance.com/en/trade/ACA_BTC,
ACH,ACHUSDT,4,0,binance,https://www.tradingview.com/chart/?symbol=BINANCE%3AACHUSDT,https://www.tradingview.com/chart/?symbol=BINANCE%3AACHBTC,https://www.binance.com/en/trade/ACH_USDT,https://www.binance.com/en/trade/ACH_BTC,https://www.binance.com/en/futures/ACHUSDT
ACM,ACMUSDT,4,0,binance,https://www.tradingview.com/chart/?symbol=BINANCE%3AACMUSDT,,https://www.binance.com/en/trade/ACM_USDT,,
ADA,ADAUSDT,4,0,binance,https://www.tradingview.com/chart/?symbol=BINANCE%3AADAUSDT,https://www.tradingview.com/chart/?symbol=BINANCE%3AADABTC,https://www.binance.com/en/trade/ADA_USDT,https://www.binance.com/en/trade/ADA_BTC,https://www.binance.com/en/futures/ADAUSDT
ADX,ADXUSDT,4,0,binance,https://www.tradingview.com/chart/?symbol=BINANCE%3AADXUSDT,https://www.tradingview.com/chart/?symbol=BINANCE%3AADXBTC,https://www.binance.com/en/trade/ADX_USDT,https://www.binance.com/en/trade/ADX_BTC,
AERGO,AERGOUSDT,4,0,binance,https://www.tradingview.com/chart/?symbol=BINANCE%3AAERGOUSDT,https://www.tradingview.com/chart/?symbol=BINANCE%3AAERGOBTC,https://www.binance.com/en/trade/AERGO_USDT,https://www.binance.com/en/trade/AERGO_BTC,
AGIX,AGIXUSDT,4,0,binance,https://www.tradingview.com/chart/?symbol=BINANCE%3AAGIXUSDT,https://www.tradingview.com/chart/?symbol=BINANCE%3AAGIXBTC,https://www.binance.com/en/trade/AGIX_USDT,https://www.binance.com/en/trade/AGIX_BTC,https://www.binance.com/en/futures/AGIXUSDT
AGLD,AGLDUSDT,4,0,binance,https://www.tradingview.com/chart/?symbol=BINANCE%3AAGLDUSDT,https://www.tradingview.com/chart/?symbol=BINANCE%3AAGLDBTC,https://www.binance.com/en/trade/AGLD_USDT,https://www.binance.com/en/trade/AGLD_BTC,
AKRO,AKROUSDT,4,0,binance,https://www.tradingview.com/chart/?symbol=BINANCE%3AAKROUSDT,,https://www.binance.com/en/trade/AKRO_USDT,,
ALCX,ALCXUSDT,4,0,binance,https://www.tradingview.com/chart/?symbol=BINANCE%3AALCXUSDT,https://www.tradingview.com/chart/?symbol=BINANCE%3AALCXBTC,https://www.binance.com/en/trade/ALCX_USDT,https://www.binance.com/en/trade/ALCX_BTC,
ALGO,ALGOUSDT,4,0,binance,https://www.tradingview.com/chart/?symbol=BINANCE%3AALGOUSDT,https://www.tradingview.com/chart/?symbol=BINANCE%3AALGOBTC,https://www.binance.com/en/trade/ALGO_USDT,https://www.binance.com/en/trade/ALGO_BTC,https://www.binance.com/en/futures/ALGOUSDT
ALICE,ALICEUSDT,4,0,binance,https://www.tradingview.com/chart/?symbol=BINANCE%3AALICEUSDT,https://www.tradingview.com/chart/?symbol=BINANCE%3AALICEBTC,https://www.binance.com/en/trade/ALICE_USDT,https://www.binance.com/en/trade/ALICE_BTC,https://www.binance.com/en/futures/ALICEUSDT
ALPACA,ALPACAUSDT,4,0,binance,https://www.tradingview.com/chart/?symbol=BINANCE%3AALPACAUSDT,https://www.tradingview.com/chart/?symbol=BINANCE%3AALPACABTC,https://www.binance.com/en/trade/ALPACA_USDT,https://www.binance.com/en/trade/ALPACA_BTC,
